,lon,lat,z
457,-49.712124,0.88036746,13.700409
458,-49.71423,0.8821354,14.000399
459,-49.716045,0.8835532,14.248843
460,-49.717556,0.88461024,14.459013
461,-49.718773,0.8853126,14.640732
462,-49.719723,0.88594854,14.789411
463,-49.720505,0.88678825,14.900891
464,-49.721188,0.8878106,14.981847
465,-49.721806,0.8889908,15.037327
466,-49.722294,0.8903104,15.076552
467,-49.722546,0.8917555,15.106931
468,-49.722595,0.89330626,15.129705
469,-49.722466,0.8949425,15.145888
470,-49.72226,0.89653283,15.156895
471,-49.722054,0.8979712,15.163941
472,-49.721848,0.8992733,15.167539
473,-49.72164,0.9004528,15.168113
474,-49.721466,0.9014666,15.164745
475,-49.72138,0.9022807,15.156609
476,-49.721382,0.9029184,15.144091
477,-49.721462,0.9033986,15.127436
478,-49.7216,0.9037831,15.109595
479,-49.721737,0.90412486,15.093357
480,-49.721874,0.9044265,15.078621
481,-49.72201,0.9046912,15.065301
482,-49.72215,0.90495884,15.055437
483,-49.72222,0.90526557,15.050984
484,-49.72229,0.90560776,15.051674
485,-49.72236,0.9059811,15.057172
486,-49.72236,0.90637285,15.065137
487,-49.722332,0.9067716,15.073452
488,-49.722263,0.90717626,15.082072
489,-49.722153,0.90758497,15.090945
490,-49.72204,0.9079944,15.099853
491,-49.72197,0.9084002,15.108572
492,-49.7219,0.9088012,15.1170845
493,-49.721893,0.909196,15.125366
494,-49.721893,0.90958726,15.133632
495,-49.721893,0.9099768,15.142061
496,-49.721935,0.9103624,15.15058
497,-49.722004,0.91074157,15.159105
498,-49.722073,0.91110456,15.167183
499,-49.722137,0.91144425,15.174464
500,-49.722137,0.91176265,15.181031
501,-49.722137,0.91206163,15.186956
502,-49.722137,0.9123305,15.19225
503,-49.722137,0.9125608,15.196932
504,-49.722137,0.91275704,15.201078
505,-49.722137,0.91292286,15.204757
506,-49.722137,0.91308707,15.208278
507,-49.722137,0.9132738,15.211882
508,-49.72215,0.9134783,15.215521
509,-49.722218,0.9136963,15.219144
510,-49.722286,0.9139118,15.222504
511,-49.722317,0.9141133,15.225425
512,-49.722317,0.91430175,15.227959
513,-49.722317,0.914478,15.230148
514,-49.722317,0.9146418,15.232076
515,-49.722317,0.91479295,15.233817
516,-49.722317,0.9149326,15.235391
517,-48.231274,-0.36333683,10.147828
518,-48.23209,-0.36266997,10.16109
519,-48.232533,-0.36183777,10.17302
520,-48.232624,-0.3608439,10.183579
521,-48.23239,-0.3596921,10.192837
522,-48.23205,-0.35843337,10.201707
523,-48.231808,-0.35712183,10.210927
524,-48.23166,-0.35576567,10.220366
525,-48.231613,-0.35437384,10.229901
526,-48.231766,-0.35308093,10.239148
527,-48.232216,-0.35200757,10.247845
528,-48.232925,-0.35114267,10.256044
529,-48.401222,-0.16354877,7.4914603
530,-48.39708,-0.1659237,7.5114584
531,-48.39312,-0.16825208,7.5275855
532,-48.389538,-0.17042762,7.5416408
533,-48.386738,-0.17229639,7.5542154
534,-48.384678,-0.17387164,7.5655723
535,-48.3833,-0.17516582,7.5759025
